symbol,date,sentiment
AMZN,2025-02-12,0.4215
AMZN,2025-02-25,0.0
AMZN,2025-02-26,0.7501
AMZN,2025-02-27,0.8126
AMZN,2025-05-23,0.0129
AMZN,2025-05-27,0.9393
AMZN,2025-05-28,-0.2023
AMZN,2025-05-29,-0.20095
AMZN,2025-05-30,-0.9451
AMZN,2025-05-31,0.3818
AMZN,2025-08-22,0.1531
AMZN,2025-08-23,0.13396666666666665
AMZN,2025-08-26,-0.1695
AMZN,2025-08-27,0.9201
AMZN,2025-08-28,0.6003666666666666
AMZN,2025-08-29,-0.011999999999999997
AMZN,2025-08-30,0.2683
AMZN,2025-09-11,0.0
AMZN,2025-11-18,0.0
AMZN,2025-11-20,0.0
AMZN,2025-11-22,0.4019
AMZN,2025-11-27,0.28595
AMZN,2025-11-28,0.4166
AMZN,2025-12-03,0.3818
AMZN,2025-12-08,-0.2732
AMZN,2025-12-10,0.0
AMZN,2025-12-11,-0.296
AMZN,2025-12-15,-0.7717
AMZN,2025-12-17,0.0
AMZN,2025-12-18,0.946
AMZN,2025-12-19,-0.4767
AMZN,2025-12-20,0.3612
AMZN,2025-12-22,0.1473
AMZN,2025-12-26,0.0258
AMZN,2025-12-27,0.7814000000000001
AMZN,2025-12-30,0.24875
AMZN,2025-12-31,0.6081666666666666
AON,2025-10-31,0.296
APH,2025-08-27,0.5267
APLD,2025-02-14,0.31745
APLD,2025-05-26,0.9945
APP,2025-02-28,-0.743
APP,2025-05-27,-0.0772
ARBE,2025-02-14,0.0
ARKF,2025-11-19,0.7783
ARKK,2025-08-31,0.0
ARKK,2025-12-29,0.2732
ARKK,2025-12-31,-0.508
ARM,2025-02-14,-0.5873
ARM,2025-02-28,0.0
ARM,2025-05-22,0.0
ARM,2025-12-15,-0.8885
ASML,2025-09-10,-0.0772
ASST,2025-11-27,0.0
ASST,2025-11-28,0.3612
ASTS,2025-12-24,-0.6486
ASTS,2025-12-31,0.4215
AVGO,2025-02-06,0.2732
AVGO,2025-02-26,0.0
AVGO,2025-05-25,-0.4215
AVGO,2025-05-26,0.7003
AVGO,2025-08-28,0.0
AVGO,2025-08-30,0.0
AVGO,2025-11-24,0.0
AVGO,2025-11-26,0.3612
AVGO,2025-11-28,0.3962
AVGO,2025-12-14,-0.4404
AVGO,2025-12-17,0.2526
AVGO,2025-12-22,-0.068775
AVGO,2025-12-23,0.46645000000000003
AVGO,2025-12-30,-0.47680000000000006
AVGO,2025-12-31,0.2671
AXP,2025-01-23,0.5106
AXP,2025-07-09,0.0
AXP,2025-07-13,0.5719
AXP,2025-11-07,0.8591
AZN,2025-05-26,0.6369
BA,2025-02-12,0.0
BA,2025-04-07,0.0
BA,2025-12-29,0.2023
BABA,2025-01-28,0.1139
BABA,2025-08-27,0.4215
BABA,2025-08-29,0.13376000000000002
BABA,2025-08-30,0.08360000000000001
BABA,2025-11-15,0.3612
BABA,2025-11-26,0.2732
BABA,2025-12-05,0.128
BABA,2025-12-22,0.0
BABA,2025-12-23,0.7269
BABA,2025-12-29,-0.3535
BAC,2025-01-15,0.0
BAC,2025-01-21,-0.2732
BAC,2025-01-28,0.9313
BAC,2025-01-29,0.0
BAC,2025-02-16,0.3818
BAC,2025-02-19,0.0
BAC,2025-02-20,0.4767
BAC,2025-03-21,0.4215
BAC,2025-04-04,0.5457
BAC,2025-04-05,0.1027
BAC,2025-04-07,-0.3869
BAC,2025-04-08,0.4939
BAC,2025-04-09,-0.4019
BAC,2025-04-10,-0.23485000000000003
BAC,2025-04-11,-0.7906
BAC,2025-04-15,-0.5994
BAC,2025-04-23,0.0
BAC,2025-04-25,0.7151
BAC,2025-04-29,0.0
BAC,2025-05-07,-0.8676
BAC,2025-05-21,0.4019
BAC,2025-05-23,0.4939
BAC,2025-06-02,-0.3818
BAC,2025-06-13,-0.22675
BAC,2025-06-14,0.125
BAC,2025-06-16,-0.8074
BAC,2025-06-18,-0.2732
BAC,2025-06-26,0.128
BAC,2025-06-30,0.0258
BAC,2025-07-01,0.0
BAC,2025-07-02,0.3612
BAC,2025-07-05,0.8928
BAC,2025-07-06,0.0
BAC,2025-07-10,0.0
BAC,2025-07-15,0.6597
BAC,2025-07-16,0.6486
BAC,2025-07-20,0.25
BAC,2025-07-22,0.34
BAC,2025-07-24,-0.7259
BAC,2025-08-01,0.0
BAC,2025-08-05,0.029733333333333334
BAC,2025-08-07,-0.9747
BAC,2025-08-08,0.0
BAC,2025-08-18,0.2846
BAC,2025-10-14,-0.34
BAC,2025-11-04,0.0
BAC,2025-11-05,0.0
BAC,2025-11-06,0.9209
BAC,2025-11-09,0.0
BAC,2025-11-12,0.0
BAC,2025-11-16,0.9274
BAC,2025-11-22,0.0
